# Lambda	Transmission
1.521	0.9914378097976474
1.5210297236322614	0.9914859200737997
1.5210594472645234	0.9915197938825971
1.5210891708967849	0.991531523240953
1.5211188945290468	0.9915357763707293
1.5211486181613083	0.9915424836506452
1.52117834179357	0.9915285437484638
1.5212080654258318	0.9914609596489682
1.5212377890580935	0.9913437967875719
1.5212675126903552	0.9912024432974662
1.521297236322617	0.9909791158361325
1.5213269599548784	0.9907162811033497
1.5213566835871404	0.9905851020124284
1.5213864072194019	0.9906095332405479
1.5214161308516638	0.9907431348956472
1.5214458544839253	0.9908936852992355
1.521475578116187	0.9909422672462709
1.5215053017484488	0.9907216475072664
1.5215350253807105	0.9897206264254788
1.5215647490129722	0.9862275044235379
1.521594472645234	0.979857242318302
1.5216241962774955	0.9770967733243091
1.5216539199097574	0.9818984390749064
1.521683643542019	0.9873517313225872
1.5217133671742809	0.9889777651258598
1.5217430908065424	0.9874269044049179
1.521772814438804	0.9809014631517567
1.5218025380710658	0.9648090601205668
1.5218322617033275	0.941830916081151
1.5218619853355893	0.9289638451779542
1.521891708967851	0.9403776605346523
1.5219214326001127	0.964811431405656
1.5219511562323744	0.9816245224645868
1.521980879864636	0.9879561576773634
1.5220106034968979	0.9898601863974891
1.5220403271291594	0.9905174070486459
1.5220700507614213	0.9907472036220432
1.5220997743936828	0.9907990652862949
1.5221294980259445	0.9908887607742751
1.5221592216582063	0.9910746025545191
1.522188945290468	0.9912279413869607
1.5222186689227297	0.9913144124232953
1.5222483925549914	0.9913655862962523
1.522278116187253	0.9913609747811455
1.522307839819515	0.991195458558201
1.5223375634517764	0.990588645005121
1.5223672870840383	0.9893689679182561
1.5223970107162998	0.9880374709922642
1.5224267343485616	0.9873619517281138
1.5224564579808233	0.9879819225257696
1.522486181613085	0.9894920940319891
1.5225159052453467	0.9905148047645259
1.5225456288776085	0.99071680279606
1.52257535250987	0.9905330629378583
1.522605076142132	0.9903470367462383
1.5226347997743934	0.9903732234965158
1.5226645234066554	0.9906777436793611
1.5226942470389169	0.9910758137798155
1.5227239706711786	0.9913414155838332
1.5227536943034403	0.991455520599499
1.522783417935702	0.9914957591797857
1.5228131415679638	0.9915135077114098
1.5228428652002255	0.9914812966590001
1.522872588832487	0.9912552673379134
1.522902312464749	0.9906311112964302
1.5229320360970104	0.9899354881627733
1.5229617597292724	0.9899931466359714
1.522991483361534	0.9906174851336174
1.5230212069937956	0.9910702457389922
1.5230509306260573	0.9912874992187947
1.523080654258319	0.9914017245103428
1.5231103778905808	0.9914423223270331
1.5231401015228425	0.9914297177811359
1.523169825155104	0.9913602736264365
1.523199548787366	0.9911987090047688
1.5232292724196275	0.9909636260574177
1.5232589960518894	0.9907467731744193
1.523288719684151	0.9905027192670981
1.5233184433164126	0.9898653826546087
1.5233481669486744	0.987932847846078
1.523377890580936	0.9821277448055656
1.5234076142131978	0.969882454728696
1.5234373378454595	0.9592366500100948
1.523467061477721	0.9635983400992868
1.523496785109983	0.9770108859205519
1.5235265087422445	0.9859308134360831
1.5235562323745064	0.9890042346412915
1.523585956006768	0.9893343849426001
1.5236156796390297	0.9881875417625973
1.5236454032712914	0.9870297337698896
1.5236751269035531	0.9877236896809517
1.5237048505358148	0.9895181982051507
1.5237345741680766	0.9906357777992059
1.5237642978003383	0.9909833531866085
1.5237940214326	0.9910721881591656
1.5238237450648615	0.9911558612254988
1.5238534686971235	0.9912896025871111
1.523883192329385	0.9914013263943633
1.523912915961647	0.991408766015341
1.5239426395939084	0.9912464207739483
1.5239723632261701	0.9909598830245624
1.5240020868584319	0.9908404890581974
1.5240318104906936	0.9910146260366725
1.5240615341229553	0.9911622684846059
1.524091257755217	0.9911426023695923
1.5241209813874785	0.991183649408047
