# Lambda	Transmission
0.765	0.9019777667787339
0.7650334742351047	0.8323174974175132
0.7650669484702094	0.6777720216294338
0.765100422705314	0.5156986708825446
0.7651338969404187	0.494251111098415
0.7651673711755234	0.5319626585265638
0.765200845410628	0.49076194323125216
0.7652343196457326	0.5055006453597721
0.7652677938808373	0.6645045801537567
0.765301268115942	0.8244911488820515
0.7653347423510467	0.9013328480287499
0.7653682165861514	0.9257552357599635
0.7654016908212561	0.9305189287150384
0.7654351650563607	0.9337206721286392
0.7654686392914654	0.9354391627600829
0.76550211352657	0.9233149245996956
0.7655355877616747	0.8730575276779904
0.7655690619967794	0.750275006534537
0.7656025362318841	0.5991576703157474
0.7656360104669888	0.5652968662190878
0.7656694847020934	0.608325457863184
0.7657029589371981	0.5741538047576504
0.7657364331723027	0.5707949188027541
0.7657699074074074	0.7054850505591462
0.765803381642512	0.850198408846044
0.7658368558776167	0.9181906352966267
0.7658703301127214	0.937759771069564
0.7659038043478261	0.9422441852105183
0.7659372785829308	0.9457216997921399
0.7659707528180355	0.9481290206864592
0.7660042270531401	0.9454183306288437
0.7660377012882448	0.9316631120302907
0.7660711755233494	0.8840201491290492
0.766104649758454	0.7690194663377677
0.7661381239935587	0.6519889459512156
0.7661715982286634	0.6537111580393676
0.7662050724637681	0.6834584363846982
0.7662385466988728	0.6402796049765879
0.7662720209339775	0.6638546649468287
0.7663054951690821	0.7950200857654848
0.7663389694041868	0.9006112502402668
0.7663724436392915	0.9392796429015714
0.7664059178743962	0.9483104368883783
0.7664393921095008	0.9513605782646825
0.7664728663446055	0.9539291011138425
0.7665063405797101	0.9549310575108743
0.7665398148148148	0.9535822611177864
0.7665732890499195	0.9485565842262693
0.7666067632850241	0.9299165405394213
0.7666402375201288	0.8658396261343937
0.7666737117552335	0.7571425132301258
0.7667071859903382	0.711926015419172
0.7667406602254428	0.7475090084236252
0.7667741344605475	0.7322060331806516
0.7668076086956522	0.7089148387409832
0.7668410829307569	0.7888126156555438
0.7668745571658615	0.8929370454810853
0.7669080314009661	0.9411972157925125
0.7669415056360708	0.9529007053511783
0.7669749798711755	0.9557081257334561
0.7670084541062802	0.9575291886016858
0.7670419283413848	0.9584927866729751
0.7670754025764895	0.9584444266860129
0.7671088768115942	0.9574894128367843
0.7671423510466989	0.9552873658319463
0.7671758252818035	0.9451412657480581
0.7672092995169082	0.9030996186953895
0.7672427737520129	0.8204045379465519
0.7672762479871176	0.7754305362076461
0.7673097222222223	0.8019894774621728
0.7673431964573268	0.7968159235826803
0.7673766706924315	0.7724023197088683
0.7674101449275362	0.8262322183488279
0.7674436191626409	0.908606502297809
0.7674770933977455	0.9478140756585406
0.7675105676328502	0.9569669624206336
0.7675440418679549	0.9588927110673858
0.7675775161030596	0.9599475129288844
0.7676109903381643	0.9604483273379213
0.767644464573269	0.9604859721515115
0.7676779388083736	0.9601905238657498
0.7677114130434783	0.9597472501668559
0.7677448872785829	0.9584657953897767
0.7677783615136876	0.9494753262424357
0.7678118357487922	0.9135377395538622
0.7678453099838969	0.8534154656939874
0.7678787842190016	0.8318504346648821
0.7679122584541063	0.8530722620987348
0.767945732689211	0.8405755347357101
0.7679792069243156	0.830630393662074
0.7680126811594203	0.8815269907896801
0.7680461553945249	0.9357253455827096
0.7680796296296296	0.9563807222265353
0.7681131038647343	0.9601338353431583
0.768146578099839	0.9609784008001166
0.7681800523349437	0.9613880594333496
0.7682135265700483	0.9615214096022119
0.768247000805153	0.9614967755034279
0.7682804750402576	0.9613827605352987
0.7683139492753623	0.9613367176434048
0.768347423510467	0.9612253749681605
0.7683808977455716	0.9591777439609864
0.7684143719806763	0.9463523942558402
0.768447846215781	0.9111218623666458
0.7684813204508857	0.8768768097214248
0.7685147946859904	0.8823836981700529
0.7685482689210951	0.8886474045843038
0.7685817431561998	0.8727757433319274
0.7686152173913043	0.889080884662587
0.768648691626409	0.9313452394447153
0.7686821658615136	0.9550230683407804
0.7687156400966183	0.9604742847519745
0.768749114331723	0.961122174263633
